"Story","Title","Result","Date","Stability","Duration (s)"
"New story","Customer view Header on the Home Us page","PENDING","2018-08-23T11:27:20.033+05:30[Asia/Calcutta]","0.0","0.09"
"Bge","Customer view Header on the Home Us page","SUCCESS","2018-09-21T11:58:44.199+05:30[Asia/Calcutta]","0.0","25.8"
