"Story","Title","Result","Date","Stability","Duration (s)"
"New story","Customer view Header on the Home Us page","PENDING","2018-08-22T16:34:41.132+05:30[Asia/Calcutta]","0.0","0.09"
"New story","Customer view Header on the Home Us page","PENDING","2018-08-23T11:27:20.033+05:30[Asia/Calcutta]","0.0","0.09"
